App,Record App,Replay App,Run Count,Mismatch
com.arn.scrobble,0_5_4_InnerTune_v0_5_4_full_x86,0_5_7_InnerTune_v0_5_7_full_x86,1,Locator Invalidity
de.grobox.liberario,Transportr_2_1_1,Transportr_2_1_5,1,Locator Invalidity
de.grobox.liberario,Transportr_2_1_3,Transportr_2_2_1,1,Locator Invalidity
de.grobox.liberario,Transportr_2_1_1,Transportr_2_2_0,1,Locator Invalidity
code.name.monkey.retromusic,Release_v5_6_0_-_Open_beta,Release_v5_8_3_-_Production,2,Widget Occlusion
code.name.monkey.retromusic,Release_v5_8_3_-_Production,Release_v6_1_0_-_Production,2,Locator Invalidity
code.name.monkey.retromusic,Release_v5_8_3_-_Production,Release_v5_8_4_-_Production,3,Locator Invalidity
code.name.monkey.retromusic,Release_v5_7_1_-_Production,Release_v5_8_4_-_Production,3,Locator Invalidity
code.name.monkey.retromusic,Release_v5_7_3_-_Production,Release_v6_0_1_-_Open_Beta,1,Widget Occlusion
code.name.monkey.retromusic,Release_v5_7_3_-_Production,Release_v5_8_3_-_Production,1,Locator Invalidity
code.name.monkey.retromusic,Release_v5_7_1_-_Production,Release_v6_1_0_-_Production,2,Locator Invalidity
code.name.monkey.retromusic,Release_v5_7_2_-_Open_Beta,v6_3_0_app-fdroid-release,1,Locator Invalidity
code.name.monkey.retromusic,Release_v5_4_0_-_Open_Beta,Release_v5_4_1_-_Open_beta,3,Moved to Subpage
code.name.monkey.retromusic,Release_v5_7_2_-_Open_Beta,v6_5_0_app-fdroid-release,2,Moved to Another Page
code.name.monkey.retromusic,Release_v5_8_0_-_Production,v6_5_0_app-fdroid-release,2,Locator Invalidity
code.name.monkey.retromusic,Release_v5_8_0_-_Production,Release_v6_0_1_-_Open_Beta,1,Locator Invalidity
code.name.monkey.retromusic,Release_v5_7_3_-_Production,v6_3_0_app-fdroid-release,3,Locator Invalidity
code.name.monkey.retromusic,Release_v5_8_4_-_Production,Release_v6_0_4_-_Production,3,Moved to Another Page
code.name.monkey.retromusic,Release_v6_0_0_-_Open_Beta,Release_v6_0_2_-_Open_Beta,3,Moved to Another Page
code.name.monkey.retromusic,Release_v5_7_3_-_Production,Release_v6_0_4_-_Production,1,Locator Invalidity
code.name.monkey.retromusic,v4_4_0_-_Open_Beta,Release_v5_4_2_-_Open_beta,3,Locator Invalidity
code.name.monkey.retromusic,Release_v5_8_4_-_Production,v6_5_0_app-fdroid-release,1,Moved to Another Page
code.name.monkey.retromusic,Release_v6_0_2_-_Open_Beta,Release_v6_1_0_-_Production,3,Moved to Another Page
code.name.monkey.retromusic,v5_0_-_Production_Release,Release_v5_4_2_-_Open_beta,2,Locator Invalidity
code.name.monkey.retromusic,v5_0_-_Production_Release,Release_v5_4_1_-_Open_beta,3,Locator Invalidity
code.name.monkey.retromusic,Release_v5_7_0_-_Open_Beta,Release_v6_1_0_-_Production,3,Moved to Another Page
code.name.monkey.retromusic,Release_v6_0_2_-_Open_Beta,v6_5_0_app-fdroid-release,2,Moved to Another Page
code.name.monkey.retromusic,Release_v5_8_0_-_Production,Release_v6_0_4_-_Production,3,Widget Occlusion
code.name.monkey.retromusic,v4_2_100_-_Open_Beta,Release_v5_4_0_-_Open_Beta,1,Widget Occlusion
code.name.monkey.retromusic,Release_v5_6_0_-_Open_beta,Release_v5_7_3_-_Production,1,Locator Invalidity
code.name.monkey.retromusic,Release_v6_0_0_-_Open_Beta,v6_3_0_app-fdroid-release,1,Moved to Another Page
code.name.monkey.retromusic,Release_v5_7_0_-_Open_Beta,Release_v6_0_4_-_Production,2,Locator Invalidity
code.name.monkey.retromusic,Release_v5_7_2_-_Open_Beta,Release_v6_0_2_-_Open_Beta,3,Locator Invalidity
code.name.monkey.retromusic,v5_0_-_Production_Release,Release_v5_4_0_-_Open_Beta,1,Locator Invalidity
code.name.monkey.retromusic,Release_v5_8_4_-_Production,Release_v6_1_0_-_Production,2,Widget Occlusion
code.name.monkey.retromusic,v4_2_100_-_Open_Beta,v4_4_0_-_Open_Beta,2,Widget Occlusion
